Tempo 	Intensidade
0,0000	0,1
0,2000	0,1
0,4000	0,1
0,6000	0,1
0,8000	0,1
1,0000	0,1
1,2000	0,1
1,4000	0,1
1,6000	0,1
1,8000	0,1
2,0000	0,1
2,2000	0,1
2,4000	0,1
2,6000	0,1
2,8000	0,1
3,0000	0,1
3,2000	0,1
3,4000	0,1
3,6000	0,1
3,8000	0,1
4,0000	0,1
4,2000	0,1
4,4000	0,1
4,6000	0,1
4,8000	0,1
5,0000	0,1
5,2000	0,1
5,4000	0,1
5,6000	0,1
5,8000	0,1
6,0000	0,1
6,2000	0,1
6,4000	0,1
6,6000	0,1
6,8000	0,1
7,0000	0,1
7,2000	0,1
7,4000	0,1
7,6000	0,1
7,8000	0,2
8,0000	0,1
8,2000	0,1
8,4000	0,1
8,6000	0,2
8,8000	0,1
9,0000	0,1
9,2000	0,1
9,4000	0,1
9,6000	0,1
9,8000	0,1
10,0000	0,1
10,2000	0,1
10,4000	0,1
10,6000	0,1
10,8000	0,1
11,0000	0,1
11,2000	0,1
11,4000	0,1
11,6000	0,1
11,8000	0,1
12,0000	0,1
12,2000	0,1
12,4000	0,1
12,6000	0,1
12,8000	0,1
13,0000	0,1
13,2000	0,1
13,4000	0,1
13,6000	0,1
13,8000	0,1
14,0000	0,1
14,2000	0,1
14,4000	0,1
14,6000	0,1
14,8000	0,1
15,0000	0,1
15,2000	0,1
15,4000	0,1
15,6000	0,1
15,8000	0,1
16,0000	0,1
16,2000	0,1
16,4000	0,1
16,6000	0,1
16,8000	0,1
17,0000	0,1
17,2000	0,1
17,4000	0,1
17,6000	0,1
17,8000	0,1
18,0000	0,1
18,2000	0,1
18,4000	0,1
18,6000	0,1
18,8000	0,1
19,0000	0,1
19,2000	0,1
19,4000	0,1
19,6000	0,1
19,8000	0,1
20,0000	0,1
20,2000	0,1
20,4000	0,1
20,6000	0,1
20,8000	0,1
21,0000	0,1
21,2000	0,1
21,4000	0,1
21,6000	0,1
21,8000	0,1
22,0000	0,1
22,2000	0,1
22,4000	0,1
22,6000	0,1
22,8000	0,1
23,0000	0,1
23,2000	0,1
23,4000	0,1
23,6000	0,1
23,8000	0,1
24,0000	0,1
24,2000	0,1
24,4000	0,1
24,6000	0,1
24,8000	0,1
25,0000	0,1
25,2000	0,1
25,4000	0,1
25,6000	0,1
25,8000	0,1
26,0000	0,1
26,2000	0,2
26,4000	0,1
26,6000	0,2
26,8000	0,1
27,0000	0,2
27,2000	0,2
27,4000	0,1
27,6000	0,2
27,8000	0,2
28,0000	0,2
28,2000	0,2
28,4000	0,2
28,6000	0,2
28,8000	0,2
29,0000	0,2
29,2000	0,2
29,4000	0,2
29,6000	0,2
29,8000	0,2
30,0000	0,2
30,2000	0,2
30,4000	0,2
30,6000	0,2
30,8000	0,2
31,0000	0,2
31,2000	0,2
31,4000	0,2
31,6000	0,2
31,8000	0,2
32,0000	0,1
32,2000	0,2
32,4000	0,2
32,6000	0,2
32,8000	0,1
33,0000	0,1
33,2000	0,2
33,4000	0,1
33,6000	0,2
33,8000	0,1
34,0000	0,2
34,2000	0,1
34,4000	0,1
34,6000	0,1
34,8000	0,1
35,0000	0,2
35,2000	0,1
35,4000	0,1
35,6000	0,1
35,8000	0,2
36,0000	0,1
36,2000	0,1
36,4000	0,1
36,6000	0,1
36,8000	0,1
37,0000	0,1
37,2000	0,1
37,4000	0,1
37,6000	0,1
37,8000	0,1
38,0000	0,1
38,2000	0,1
38,4000	0,1
38,6000	0,1
38,8000	0,1
39,0000	0,1
39,2000	0,1
39,4000	0,1
39,6000	0,1
39,8000	0,1
40,0000	0,1
40,2000	0,1
40,4000	0,1
40,6000	0,1
40,8000	0,1
41,0000	0,1
41,2000	0,1
41,4000	0,1
41,6000	0,2
41,8000	0,2
42,0000	0,2
42,2000	0,2
42,4000	0,2
42,6000	0,2
42,8000	0,2
43,0000	0,2
43,2000	0,2
43,4000	0,2
43,6000	0,2
43,8000	0,2
44,0000	0,2
44,2000	0,2
44,4000	0,2
44,6000	0,2
44,8000	0,2
45,0000	0,2
45,2000	0,2
45,4000	0,2
45,6000	0,2
45,8000	0,2
46,0000	0,2
46,2000	0,2
46,4000	0,2
46,6000	0,2
46,8000	0,2
47,0000	0,2
47,2000	0,2
47,4000	0,2
47,6000	0,2
47,8000	0,2
48,0000	0,2
48,2000	0,2
48,4000	0,2
48,6000	0,2
48,8000	0,2
49,0000	0,2
49,2000	0,2
49,4000	0,2
49,6000	0,2
49,8000	0,2
50,0000	0,2
50,2000	0,2
50,4000	0,2
50,6000	0,2
50,8000	0,2
51,0000	0,2
51,2000	0,2
51,4000	0,2
51,6000	0,2
51,8000	0,2
52,0000	0,2
52,2000	0,2
52,4000	0,2
52,6000	0,2
52,8000	0,2
53,0000	0,2
53,2000	0,2
53,4000	0,2
53,6000	0,2
53,8000	0,2
54,0000	0,2
54,2000	0,2
54,4000	0,2
54,6000	0,2
54,8000	0,2
55,0000	0,2
55,2000	0,2
55,4000	0,2
55,6000	0,2
55,8000	0,2
56,0000	0,2
56,2000	0,2
56,4000	0,2
56,6000	0,2
56,8000	0,2
57,0000	0,2
57,2000	0,2
57,4000	0,2
57,6000	0,2
57,8000	0,2
58,0000	0,2
58,2000	0,2
58,4000	0,2
58,6000	0,2
58,8000	0,2
59,0000	0,2
59,2000	0,2
59,4000	0,2
59,6000	0,2
59,8000	0,2
60,0000	0,2
60,2000	0,2
60,4000	0,2
60,6000	0,2
60,8000	0,2
61,0000	0,2
61,2000	0,2
61,4000	0,2
61,6000	0,2
61,8000	0,2
62,0000	0,2
62,2000	0,2
62,4000	0,2
62,6000	0,2
62,8000	0,2
63,0000	0,2
63,2000	0,2
63,4000	0,2
63,6000	0,2
63,8000	0,2
64,0000	0,2
64,2000	0,2
64,4000	0,2
64,6000	0,2
64,8000	0,2
65,0000	0,2
65,2000	0,2
65,4000	0,2
65,6000	0,2
65,8000	0,2
66,0000	0,2
66,2000	0,2
66,4000	0,2
66,6000	0,2
66,8000	0,2
67,0000	0,2
67,2000	0,2
67,4000	0,2
67,6000	0,2
67,8000	0,2
68,0000	0,2
68,2000	0,2
68,4000	0,2
68,6000	0,3
68,8000	0,3
69,0000	0,3
69,2000	0,3
69,4000	0,3
69,6000	0,2
69,8000	0,3
70,0000	0,3
70,2000	0,3
70,4000	0,2
70,6000	0,2
70,8000	0,2
71,0000	0,2
71,2000	0,2
71,4000	0,2
71,6000	0,2
71,8000	0,2
72,0000	0,2
